2025-01-02,819.828,826.492,793.844,800.968,3273173400,53160829000.0
2025-01-03,802.108,805.153,774.284,775.33,3299073100,49284353000.0
2025-01-06,773.988,784.356,760.329,773.239,2742215400,42341431000.0
2025-01-07,773.991,789.13,771.041,789.13,2617659100,46389533000.0
2025-01-08,785.845,789.514,760.346,783.7,3009186200,47720430000.0
2025-01-09,780.725,797.942,780.435,793.156,2670174500,41280153000.0
2025-01-10,792.104,801.977,771.469,771.469,2825220100,42532663000.0
2025-01-13,761.406,779.911,756.417,772.438,2429697300,40183494000.0
2025-01-14,775.22,811.891,774.432,811.891,3590412000,56679536000.0
2025-01-15,811.24,814.032,802.955,805.932,2752986600,43619833000.0
2025-01-16,809.911,822.918,801.889,809.646,2730682900,43343537000.0
2025-01-17,806.738,814.721,802.475,809.724,2413615400,38621321000.0
2025-01-20,815.212,825.647,811.732,821.349,2692198000,49572379000.0
2025-01-21,824.99,825.464,808.913,816.799,2378623200,39401901000.0
2025-01-22,813.408,813.408,800.909,803.915,2492150400,44168626000.0
2025-01-23,811.726,821.408,799.533,799.533,3285702800,47423628000.0
2025-01-24,797.109,809.689,796.999,809.033,3115903300,46185454000.0
2025-01-27,810.052,815.146,794.38,794.38,2746244500,40174490000.0
2025-02-05,799.188,805.542,794.984,801.284,2684278300,42164191000.0
2025-02-06,800.315,830.683,797.807,830.683,3734752000,60549717000.0
2025-02-07,830.856,850.368,830.583,842.42,4647881900,76207105000.0
2025-02-10,844.18,850.734,836.4,850.579,4165580900,65136298000.0
2025-02-11,851.05,851.05,838.914,848.22,3652819200,60876071000.0
2025-02-12,845.925,866.393,845.314,866.393,4746788300,75443124000.0
2025-02-13,867.044,882.547,865.985,865.985,5400211700,88533648000.0
2025-02-14,864.01,880.169,863.988,870.006,4478309300,76553543000.0
2025-02-17,869.136,873.88,859.531,868.227,4269834000,68654452000.0
2025-02-18,872.723,888.205,862.238,865.893,5109410300,85689656000.0
2025-02-19,860.545,883.424,858.114,883.424,4404475800,71896188000.0
2025-02-20,883.115,892.698,879.018,891.993,4811277000,75603419000.0
2025-02-21,890.962,908.963,889.348,908.476,6266510600,103686605000.0
2025-02-24,908.202,916.665,899.551,909.743,5708973200,93667862000.0
2025-02-25,898.479,921.73,897.163,910.592,5153160900,89290130000.0
2025-02-26,916.242,936.08,916.242,931.494,5371205800,90786291000.0
2025-02-27,936.525,959.625,935.905,953.57,6757128900,118695161000.0
2025-02-28,951.309,962.035,931.419,933.02,6851568100,120386038000.0
2025-03-03,944.974,992.144,944.974,973.962,7757240900,146662640000.0
2025-03-04,955.252,958.319,940.678,955.675,5833433300,105098201000.0
2025-03-05,950.396,952.069,938.764,950.892,4633132800,82893701000.0
2025-03-06,954.121,968.579,952.869,965.405,5329265800,100295460000.0
2025-03-07,959.115,962.651,941.935,948.185,4837496200,88547672000.0
2025-03-10,948.922,961.655,948.922,960.673,4086633500,76692411000.0
2025-03-11,947.733,960.311,946.446,960.311,4000967300,70894236000.0
