2025-01-02,8130.753,8132.419,7745.119,7839.898,2135527000,96665531000.0
2025-01-03,7868.517,7897.751,7586.871,7596.052,1828505700,77499850000.0
2025-01-06,7582.665,7626.869,7415.362,7479.65,1501884100,63452457000.0
2025-01-07,7505.202,7788.673,7505.202,7786.124,1715324200,79017310000.0
2025-01-08,7720.902,7901.418,7505.796,7799.992,1954961600,91138829000.0
2025-01-09,7763.793,7953.473,7763.793,7820.517,1692016900,80809545000.0
2025-01-10,7801.659,8063.243,7693.753,7693.753,2108534300,97718859000.0
2025-01-13,7562.492,7735.383,7480.206,7694.497,1497044800,70153105000.0
2025-01-14,7740.926,8103.604,7688.923,8103.604,2192917000,102912413000.0
2025-01-15,8081.395,8187.729,8022.802,8081.274,1829344700,91682199000.0
2025-01-16,8133.325,8245.628,7938.981,8024.755,1963494600,104304998000.0
2025-01-17,7989.323,8371.239,7941.742,8260.484,2302571300,110826524000.0
2025-01-20,8288.642,8304.033,8173.968,8235.768,1958517000,91563124000.0
2025-01-21,8284.033,8439.537,8190.693,8413.466,2084217500,106528995000.0
2025-01-22,8353.541,8401.484,8282.945,8326.732,1822725900,93011724000.0
2025-01-23,8419.353,8534.129,8251.194,8251.194,1999775600,99939863000.0
2025-01-24,8229.791,8386.432,8229.791,8385.578,1643828200,82639397000.0
2025-01-27,8395.528,8399.027,8151.499,8151.499,1531585300,77023423000.0
2025-02-05,8330.986,8434.808,8258.134,8338.88,1923753600,107243702000.0
2025-02-06,8291.284,8754.116,8274.064,8751.886,2586903100,131932668000.0
2025-02-07,8768.146,8975.407,8656.038,8800.174,3024025800,151264600000.0
2025-02-10,8816.035,8962.154,8762.487,8946.125,2435333200,120573088000.0
2025-02-11,8925.758,8925.758,8743.758,8788.578,2035413900,101211564000.0
2025-02-12,8755.103,9112.972,8720.83,9112.2,2926096700,141581880000.0
2025-02-13,9089.87,9089.87,8836.164,8836.164,2461582900,124750180000.0
2025-02-14,8780.927,8840.371,8651.633,8791.169,2051925400,103471842000.0
2025-02-17,8799.531,8915.344,8780.702,8889.271,2194545100,113112549000.0
2025-02-18,8865.046,8954.0,8600.05,8641.076,2265225800,115928935000.0
2025-02-19,8640.991,9066.461,8640.991,9065.915,2674827400,136075130000.0
2025-02-20,9073.348,9151.757,8994.351,9098.055,2300967200,118630948000.0
2025-02-21,9109.871,9495.641,9061.316,9441.758,3382258000,183104430000.0
2025-02-24,9416.456,9532.067,9344.548,9462.042,2978330500,160366340000.0
2025-02-25,9287.656,9634.738,9278.171,9495.926,2700856200,150003760000.0
2025-02-26,9530.741,9676.491,9387.983,9666.052,2637020900,146651130000.0
2025-02-27,9689.633,9794.08,9371.658,9623.576,2734704900,143429190000.0
2025-02-28,9539.328,9583.682,9070.117,9100.212,2827027900,146944510000.0
2025-03-03,9146.807,9232.553,8945.176,9048.101,2235908100,113724246000.0
2025-03-04,8932.818,9482.294,8929.765,9422.157,2601256700,132767712000.0
2025-03-05,9427.341,9573.98,9302.682,9438.503,2257797400,115787698000.0
2025-03-06,9502.814,9668.881,9502.814,9574.621,2437679000,134306510000.0
2025-03-07,9511.941,9592.601,9365.579,9435.087,2049070800,107138873000.0
2025-03-10,9417.17,9492.579,9345.938,9469.595,1617383100,85706778000.0
2025-03-11,9324.097,9496.42,9307.615,9449.3,1550628000,83646304000.0
2025-03-12,9511.1,9578.553,9443.148,9443.148,1732016400,92919561000.0
2025-03-13,9424.503,9428.192,9068.659,9144.235,1813079300,91017937000.0
2025-03-14,9142.441,9342.032,9112.555,9324.138,1641524500,88341425000.0
2025-03-17,9348.51,9392.748,9252.37,9378.377,1359219500,69115156000.0
2025-03-18,9410.885,9554.743,9395.539,9424.083,1459651600,76040888000.0
2025-03-19,9404.107,9455.029,9259.334,9297.6,1298211130,70229171000.0
2025-03-20,9293.65,9360.534,9211.985,9214.645,1250223090,64962434000.0
2025-03-21,9174.509,9183.409,8910.156,8924.179,1478681600,77395079000.0
2025-03-24,8924.073,8973.128,8674.616,8882.458,1335438310,68132585000.0
2025-03-25,8880.404,8916.808,8737.962,8766.813,1039321630,57498915000.0
2025-03-26,8763.573,8911.318,8763.573,8836.26,999797410,51408931000.0
2025-03-27,8801.003,9092.2,8762.822,8919.647,1339612680,69849532000.0
2025-03-28,8923.541,9005.859,8781.233,8781.233,1125883940,59053396000.0
2025-03-31,8731.002,8830.987,8653.18,8794.886,1299454880,67165676000.0
2025-04-01,8827.499,8924.522,8818.8,8862.196,1164869150,64075267000.0
